MONTH,DAY_OF_WEEK,FL_DATE,MKT_UNIQUE_CARRIER,MKT_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,DUP,CRS_ELAPSED_TIME,DISTANCE,WEATHER_DELAY,NAS_DELAY,LATE_AIRCRAFT_DELAY,DIV_AIRPORT_LANDINGS
1,3,1/18/23 0:00,DL,5350,9E,5350,JFK,SYR,950,1115,1059.0,-16.0,0,0,N,85.0,209,,,,0.0
1,3,1/18/23 0:00,UA,1998,UA,1998,ORD,SYR,1824,2117,2109.0,-8.0,0,0,N,113.0,607,,,,0.0
1,3,1/18/23 0:00,UA,3568,YX,3568,ORD,SYR,1348,1639,1632.0,-7.0,0,0,N,111.0,607,,,,0.0
1,3,1/25/23 0:00,AA,4771,YX,4771,ORD,SYR,1645,1938,1929.0,-9.0,0,0,N,113.0,607,,,,0.0
1,3,1/25/23 0:00,B6,116,B6,116,JFK,SYR,1316,1429,1420.0,-9.0,0,0,N,73.0,209,,,,0.0
1,3,1/25/23 0:00,B6,2516,B6,2516,JFK,SYR,2155,2307,124.0,137.0,0,0,N,72.0,209,0.0,0.0,137.0,0.0
1,3,1/25/23 0:00,DL,5009,9E,5009,JFK,SYR,2230,2354,,,1,0,N,84.0,209,,,,0.0
1,3,1/25/23 0:00,DL,5224,9E,5224,JFK,SYR,1635,1801,1800.0,-1.0,0,0,N,86.0,209,,,,0.0
1,3,1/25/23 0:00,DL,5350,9E,5350,JFK,SYR,950,1115,1044.0,-31.0,0,0,N,85.0,209,,,,0.0
1,3,1/25/23 0:00,UA,1998,UA,1998,ORD,SYR,1824,2117,2129.0,12.0,0,0,N,113.0,607,,,,0.0
1,3,1/25/23 0:00,UA,3568,YX,3568,ORD,SYR,1348,1639,1714.0,35.0,0,0,N,111.0,607,0.0,35.0,0.0,0.0
